ledger_id,vin,month_date,customer_id,model_id,principal_amount,interest_amount,year_model,collateral
16246,3N1CN8AE4SK603801,2026-02-01,,704,369485.38,1275.41,2025,DEMO 
16247,MDHBD0FA7SG001802,2026-02-01,,677,409081.98,687.87,2025,DEMO 
16248,MDHBD0FA6SG001919,2026-02-01,,677,409081.98,1434.04,2025,DEMO 
16249,5N1DR3MN5RC314054,2026-02-01,,686,1041332.59,4065.88,2024,DEMO 
16250,MNTFP5CP0S6017675,2026-02-01,,672,541168.49,4322.73,2025,NUEVO 
16251,3N8AP6HE1SL418029,2026-02-01,,672,538755.68,3031.40,2025,DEMO 
16252,3N8AP6HE5SL419913,2026-02-01,,672,506464.76,2879.39,2025,DEMO 
16253,JN8CT3MT5SW011008,2026-02-01,,706,847816.33,4770.38,2025,DEMO 
16254,3N1AB8AE1SY349610,2026-02-01,,694,426000.20,1498.10,2025,NUEVO 
16255,MNTFP5CP8S6018234,2026-02-01,,672,561293.32,2357.43,2025,NUEVO 
16256,3N1AB8AE9SY351329,2026-02-01,,694,407219.80,194.49,2025,NUEVO 
16257,MNTFP5CPXS6018090,2026-02-01,,672,541168.48,454.58,2025,NUEVO 
16258,3N1CN8AE1SK619857,2026-02-01,,704,343766.65,2695.13,2025,NUEVO 
16259,3N8AP6HEXSL421804,2026-02-01,,672,538755.69,3092.46,2025,DEMO 
16260,3N8CP5HE1SL490254,2026-02-01,,672,429415.24,2626.83,2025,DEMO 
16261,3N8CP5HE8SL492017,2026-02-01,,672,429415.24,2614.89,2025,DEMO 
16262,JN8AT3MT7TW054953,2026-02-01,,706,706716.89,3772.93,2026,DEMO 
16263,3N8CP5HE8SL488016,2026-02-01,,672,429415.25,294.89,2025,NUEVO 
16264,3N8CP5HE0SL492271,2026-02-01,,672,398683.36,609.65,2025,NUEVO 
16265,3N1CN8AE0SK618358,2026-02-01,,704,343766.65,2389.66,2025,NUEVO 
16266,3N1CN8AE4SK617536,2026-02-01,,704,328550.93,2688.28,2025,NUEVO 
16267,3N8CP5HE5SL492380,2026-02-01,,672,398683.37,3262.12,2025,NUEVO 
16268,JN8AT3MT6TW054961,2026-02-01,,706,706716.89,3144.10,2026,DEMO 
16269,3N1CN8AE6NL856181,2026-02-01,,704,218800.00,183.85,2022,SEMINUEVOS 
16270,3N1CN8AEXSK627553,2026-02-01,,704,343766.64,2941.11,2025,NUEVO 
16271,3N8CP5HE0SL496370,2026-02-01,,672,398683.37,3410.96,2025,NUEVO 
16272,3N6AD33A2SK836822,2026-02-01,,663,659969.56,5400.02,2025,NUEVO 
16273,3N6AD33BXSK841291,2026-02-01,,663,687094.21,5819.69,2025,NUEVO 
16274,3N1CN8AE5PL858619,2026-02-01,,704,218400.00,261.35,2023,SEMINUEVOS 
16275,3N1AB8AE9SY390521,2026-02-01,,694,426000.21,347.94,2025,DEMO 
16276,3N1CK3CE3SL214439,2026-02-01,,678,308832.09,252.24,2025,DEMO 
16277,MDHBD0FA3SG020637,2026-02-01,,677,352728.81,2987.61,2025,NUEVO 
16278,MNTFP5CP1S6019385,2026-02-01,,672,567419.29,463.44,2025,DEMO 
16279,JN1BE6DS4S9121656,2026-02-01,,701,645301.69,585.61,2025,NUEVO 
16280,3N1CN8AE2PL861137,2026-02-01,,704,216900.00,389.70,2023,SEMINUEVOS 
16281,JN1BE6DS4L9036916,2026-02-01,,683,376400.00,1289.80,2020,SEMINUEVOS 
16282,MEX6A2604NT024356,2026-02-01,,687,177700.00,329.83,2022,SEMINUEVOS 
16283,3N6AD33A8SK844018,2026-02-01,,663,662512.60,4558.64,2025,NUEVO 
16284,3N8CP5HE0SL501244,2026-02-01,,672,398683.37,238.55,2025,NUEVO 
16285,3N1CN8AE9SK632369,2026-02-01,,704,361666.61,2522.71,2025,NUEVO 
16286,3N6AD33A6SK843059,2026-02-01,,663,662512.61,2975.79,2025,NUEVO 
16287,3N8CP5HE4SL501201,2026-02-01,,672,398683.37,3342.74,2025,NUEVO 
16288,3N8CP5HE0SL504001,2026-02-01,,672,398683.37,3342.74,2025,NUEVO 
16289,3N6AD33B6SK847167,2026-02-01,,663,689636.88,5514.03,2025,NUEVO 
16290,MDHBD0FA1SG020717,2026-02-01,,677,392658.33,308.88,2025,NUEVO 
16291,JN8CT3MT6TW011522,2026-02-01,,706,852216.03,6813.94,2026,NUEVO 
16292,3N1AB8AE9SY417846,2026-02-01,,694,375550.64,1767.93,2025,NUEVO 
16293,3N1CK3CE0SL220652,2026-02-01,,678,285561.33,387.09,2025,NUEVO 
16294,JN1BE6DS3S9122216,2026-02-01,,701,652953.04,4288.45,2025,NUEVO 
16295,JN1BE6DSXL9036130,2026-02-01,,683,374300.00,1844.62,2020,SEMINUEVOS 
16296,3N6AD33A7PK817447,2026-02-01,,663,489900.00,2414.32,2023,SEMINUEVOS 
16297,3N1CN8AE4SK635034,2026-02-01,,704,329447.60,351.04,2025,FLOTILLA 
16298,3N1CN8AE1SK633712,2026-02-01,,704,329447.60,263.28,2025,FLOTILLA 
16299,3N1AB8AE6SY417979,2026-02-01,,694,394413.40,1802.03,2025,NUEVO 
16300,3N1CK3CE1SL219770,2026-02-01,,678,285561.32,387.09,2025,NUEVO 
16301,3N1CK3CE2SL220281,2026-02-01,,678,285561.32,2090.31,2025,NUEVO 
16302,3N1CK3CE4SL221223,2026-02-01,,678,285561.33,380.35,2025,NUEVO 
16303,3N1CK3CE2SL220247,2026-02-01,,678,285561.33,380.35,2025,NUEVO 
16304,3N1CK3CE0SL221753,2026-02-01,,678,285561.33,304.28,2025,NUEVO 
16305,3N1CN8AE1SK637369,2026-02-01,,704,346452.05,2584.15,2025,NUEVO 
16306,MDHBD0FA8SG029091,2026-02-01,,677,352728.81,2677.60,2025,NUEVO 
16307,9BHCP4AC5PP430534,2026-02-01,,665,225400.00,180.13,2023,SEMINUEVOS 
16308,3N1CN8AE2SK632925,2026-02-01,,704,343766.65,2380.97,2025,FLOTILLA 
16309,3N1AB8AE3SY349124,2026-02-01,,694,426000.21,2837.04,2025,NUEVO 
16310,3N1CN8AE7SK635531,2026-02-01,,704,346452.05,2307.27,2025,NUEVO 
16311,MNTFP5CP1S6019287,2026-02-01,,672,536794.12,3669.88,2025,FLOTILLA 
16312,JN8CT3MT9TW011062,2026-02-01,,706,771255.10,4707.87,2026,FLOTILLA 
16313,3N6AD33A8SK847503,2026-02-01,,663,439774.05,2684.45,2025,FLOTILLA 
16314,3N6AD33A6SK847600,2026-02-01,,663,439774.04,3006.59,2025,NUEVO 
16315,3N1AB8AE9SY425350,2026-02-01,,694,409779.93,1506.90,2025,NUEVO 
16316,3N1CK3CE6SL220106,2026-02-01,,678,285561.32,285.53,2025,NUEVO 
16317,3N1CN8AE6SL892514,2026-02-01,,704,346452.04,2584.15,2025,NUEVO 
16318,3N8CP5HE3SL501724,2026-02-01,,672,398683.37,349.69,2025,NUEVO 
16319,JN1BE6DS3S9122961,2026-02-01,,701,696393.89,2732.83,2025,NUEVO 
16320,3N8AP6HE4TL325958,2026-02-01,,672,482601.24,3588.98,2026,NUEVO 
